frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,ip.proto,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,ip.len,tcp.window_size_value,tcp.analysis.ack_rtt,tcp.analysis.initial_rtt,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,frame.time_epoch
246,10.0.0.134,10.0.0.134,232,0,60,6,False,False,False,40,512,,,,,1722052035.059153394
247,10.0.0.134,10.0.0.134,233,0,60,6,False,False,False,40,512,,,,,1722052036.087431289
248,10.0.0.134,10.0.0.134,234,0,60,6,False,False,False,40,512,,,,,1722052037.088638197
249,10.0.0.134,10.0.0.134,235,0,60,6,False,False,False,40,512,,,,,1722052038.089136601
250,10.0.0.134,10.0.0.134,236,0,60,6,False,False,False,40,512,,,,,1722052039.090037556
251,10.0.0.134,10.0.0.134,237,0,60,6,False,False,False,40,512,,,,,1722052040.090439060
252,10.0.0.134,10.0.0.134,238,0,60,6,False,False,False,40,512,,,,,1722052041.091941682
253,10.0.0.134,10.0.0.134,239,0,60,6,False,False,False,40,512,,,,,1722052042.092030970
254,10.0.0.134,10.0.0.134,240,0,60,6,False,False,False,40,512,,,,,1722052043.092708888
255,10.0.0.134,10.0.0.134,241,0,60,6,False,False,False,40,512,,,,,1722052044.093527254
256,10.0.0.134,10.0.0.134,242,0,60,6,False,False,False,40,512,,,,,1722052045.094854066
257,10.0.0.134,10.0.0.134,243,0,60,6,False,False,False,40,512,,,,,1722052046.095428922
258,10.0.0.134,10.0.0.134,244,0,60,6,False,False,False,40,512,,,,,1722052047.095933416
259,10.0.0.134,10.0.0.134,245,0,60,6,False,False,False,40,512,,,,,1722052048.096911225
260,10.0.0.134,10.0.0.134,246,0,60,6,False,False,False,40,512,,,,,1722052049.097632607
261,10.0.0.134,10.0.0.134,247,0,60,6,False,False,False,40,512,,,,,1722052050.098305917
